iter	Passed	Remaining
0	134	134509
1	136	68116
2	137	45740
3	138	34469
4	139	27724
5	140	23199
6	140	19982
7	141	17564
8	142	15684
9	143	14187
10	144	12961
11	144	11935
12	145	11065
13	146	10324
14	147	9680
15	148	9133
16	150	8702
17	151	8280
18	152	7882
19	153	7521
20	154	7198
21	155	6905
22	156	6640
23	157	6395
24	158	6169
25	159	5960
26	160	5767
27	161	5598
28	162	5433
29	163	5277
30	164	5156
31	166	5036
32	167	4908
33	168	4787
34	169	4672
35	170	4563
36	171	4459
37	172	4363
38	173	4272
39	174	4185
40	175	4101
41	176	4021
42	177	3947
43	178	3887
44	180	3835
45	181	3772
46	182	3707
47	183	3646
48	184	3588
49	185	3531
50	186	3478
51	188	3427
52	188	3376
53	189	3327
54	190	3281
55	191	3235
56	192	3190
57	194	3157
58	196	3126
59	197	3087
60	198	3047
61	198	3010
62	199	2972
63	200	2936
64	201	2901
65	202	2867
66	203	2835
67	204	2803
68	205	2772
69	206	2741
70	207	2711
71	208	2689
72	210	2672
73	211	2648
74	212	2621
75	213	2595
76	214	2569
77	215	2543
78	216	2518
79	216	2494
80	217	2471
81	218	2449
82	219	2421
83	220	2400
84	221	2379
85	221	2358
86	226	2376
87	227	2362
88	228	2342
89	229	2323
90	230	2304
91	231	2286
92	232	2268
93	233	2252
94	234	2234
95	235	2217
96	236	2201
97	237	2185
98	239	2176
99	241	2170
100	242	2156
101	243	2141
102	244	2127
103	245	2112
104	246	2099
105	247	2087
106	248	2077
107	250	2065
108	251	2053
109	252	2040
110	255	2044
111	257	2038
112	258	2026
113	259	2017
114	260	2006
115	261	1995
116	262	1982
117	263	1970
118	264	1959
119	265	1948
120	266	1938
121	268	1933
122	271	1933
123	272	1923
124	273	1914
125	274	1904
126	275	1893
127	276	1884
128	277	1875
129	278	1865
130	279	1855
131	280	1846
132	281	1837
133	283	1829
134	284	1824
135	286	1817
136	287	1808
137	288	1799
138	289	1791
139	290	1781
140	291	1773
141	291	1762
142	292	1754
143	293	1745
144	294	1737
145	295	1728
146	296	1720
147	297	1714
148	299	1712
149	300	1705
150	302	1698
151	302	1689
152	303	1682
153	304	1674
154	305	1666
155	306	1659
156	307	1652
157	308	1645
158	309	1638
159	310	1631
160	311	1622
161	312	1618
162	315	1621
163	316	1614
164	317	1607
165	318	1601
166	319	1594
167	320	1587
168	321	1580
169	322	1574
170	323	1567
171	324	1560
172	325	1555
173	326	1550
174	328	1548
175	330	1547
176	331	1541
177	332	1535
178	333	1529
179	334	1524
180	335	1518
181	336	1512
182	337	1507
183	338	1501
184	339	1495
185	340	1490
186	341	1485
187	344	1488
188	345	1483
189	346	1478
190	347	1472
191	348	1467
192	349	1461
193	350	1456
194	351	1451
195	352	1445
196	353	1440
197	354	1435
198	355	1430
199	356	1425
200	357	1422
201	360	1422
202	361	1417
203	361	1412
204	362	1407
205	363	1402
206	364	1397
207	365	1393
208	366	1388
209	367	1383
210	368	1378
211	369	1373
212	370	1369
213	371	1364
214	373	1362
215	374	1360
216	375	1355
217	376	1351
218	377	1346
219	378	1341
220	379	1337
221	380	1332
222	381	1328
223	382	1323
224	382	1318
225	383	1314
226	384	1310
227	385	1305
228	386	1301
229	388	1299
230	389	1297
231	391	1295
232	392	1291
233	393	1286
234	394	1283
235	395	1279
236	396	1275
237	397	1271
238	398	1267
239	399	1263
240	400	1260
241	401	1257
242	403	1256
243	405	1255
244	406	1251
245	407	1248
246	408	1244
247	409	1242
248	410	1238
249	411	1235
250	413	1232
251	414	1229
252	415	1225
253	416	1222
254	418	1223
255	420	1222
256	422	1220
257	423	1217
258	424	1214
259	425	1211
260	426	1208
261	428	1206
262	429	1204
263	430	1201
264	435	1206
265	436	1204
266	437	1201
267	438	1197
268	439	1194
269	440	1191
270	441	1188
271	443	1185
272	444	1182
273	445	1179
274	446	1176
275	449	1177
276	451	1177
277	452	1174
278	453	1171
279	454	1168
280	455	1165
281	456	1162
282	457	1159
283	458	1156
284	459	1153
285	461	1152
286	463	1152
287	465	1150
288	466	1147
289	467	1144
290	468	1141
291	469	1138
292	470	1136
293	471	1133
294	473	1130
295	474	1127
296	475	1125
297	477	1125
298	479	1124
299	480	1121
300	481	1119
301	483	1117
302	484	1114
303	486	1113
304	487	1111
305	488	1108
306	489	1105
307	491	1104
308	493	1103
309	494	1101
310	495	1098
311	497	1096
312	498	1093
313	499	1091
314	500	1089
315	501	1086
316	503	1083
317	504	1081
318	508	1086
319	510	1084
320	511	1081
321	512	1079
322	513	1076
323	514	1074
324	516	1071
325	517	1069
326	518	1066
327	519	1064
328	521	1063
329	523	1063
330	524	1060
331	526	1058
332	527	1056
333	528	1053
334	529	1051
335	530	1049
336	532	1046
337	533	1044
338	534	1041
339	537	1043
340	539	1041
341	540	1040
342	541	1037
343	542	1035
344	544	1032
345	545	1030
346	546	1028
347	547	1026
348	548	1023
349	551	1024
350	553	1023
351	554	1021
352	555	1018
353	556	1016
354	557	1013
355	559	1011
356	560	1008
357	561	1006
358	562	1004
359	563	1002
360	565	1001
361	568	1001
362	569	999
363	570	997
364	572	995
365	573	993
366	574	990
367	575	988
368	576	986
369	577	984
370	579	981
371	581	981
372	582	979
373	584	977
374	585	975
375	586	973
376	587	970
377	588	968
378	589	966
379	591	964
380	592	962
381	593	959
382	596	961
383	598	959
384	599	957
385	600	955
386	601	953
387	603	951
388	604	949
389	605	946
390	606	944
391	607	942
392	608	940
393	611	940
394	612	938
395	613	936
396	614	933
397	616	932
398	617	929
399	618	927
400	619	925
401	620	923
402	622	921
403	624	921
404	627	922
405	629	920
406	630	918
407	631	916
408	632	913
409	633	911
410	634	909
411	636	907
412	637	905
413	638	903
414	642	905
415	643	903
416	644	900
417	645	898
418	646	896
419	647	894
420	648	892
421	650	890
422	651	888
423	652	886
424	654	885
425	656	885
426	658	883
427	659	881
428	660	879
429	661	877
430	663	875
431	664	873
432	665	871
433	666	869
434	667	867
435	669	866
436	671	865
437	672	863
438	674	861
439	674	859
440	675	856
441	676	854
442	677	852
443	679	850
444	680	848
445	681	845
446	682	843
447	683	841
448	684	840
449	686	839
450	687	836
451	688	834
452	689	832
453	690	830
454	691	828
455	692	825
456	693	823
457	694	821
458	695	819
459	696	817
460	697	815
461	697	812
462	700	812
463	701	810
464	702	808
465	703	806
466	704	803
467	705	801
468	706	799
469	707	797
470	708	795
471	709	793
472	710	791
473	711	789
474	712	787
475	714	786
476	716	785
477	717	783
478	718	781
479	719	779
480	720	777
481	721	775
482	722	773
483	723	771
484	724	769
485	725	767
486	726	765
487	728	764
488	730	763
489	731	761
490	732	759
491	734	757
492	735	755
493	736	753
494	737	752
495	738	750
496	739	748
497	740	746
498	741	744
499	742	742
500	744	741
501	745	739
502	746	738
503	747	736
504	748	734
505	750	732
506	750	730
507	751	728
508	752	726
509	753	724
510	754	722
511	755	720
512	756	718
513	758	717
514	761	716
515	762	714
516	763	712
517	764	711
518	765	709
519	766	707
520	767	705
521	768	703
522	769	701
523	770	699
524	771	697
525	773	697
526	775	696
527	776	694
528	777	692
529	778	690
530	779	688
531	780	686
532	781	684
533	782	682
534	783	680
535	784	678
536	785	677
537	786	675
538	787	673
539	789	672
540	790	670
541	791	669
542	792	667
543	793	665
544	794	663
545	796	662
546	797	660
547	798	658
548	799	656
549	800	654
550	801	652
551	802	651
552	804	650
553	805	648
554	806	646
555	807	644
556	808	643
557	809	641
558	810	639
559	811	637
560	812	635
561	813	633
562	814	631
563	815	630
564	818	630
565	820	629
566	821	627
567	822	625
568	823	623
569	824	622
570	825	620
571	826	618
572	827	616
573	828	614
574	829	613
575	830	611
576	831	609
577	832	608
578	834	607
579	835	605
580	836	603
581	837	601
582	838	600
583	839	598
584	841	596
585	842	594
586	843	593
587	844	591
588	845	589
589	846	588
590	848	587
591	850	585
592	851	584
593	852	582
594	854	581
595	855	579
596	856	578
597	857	576
598	858	574
599	859	573
600	861	571
601	863	570
602	864	569
603	867	568
604	868	567
605	869	565
606	870	563
607	871	562
608	872	560
609	873	558
610	874	557
611	876	555
612	878	554
613	879	553
614	881	551
615	882	550
616	883	548
617	884	546
618	885	545
619	886	543
620	887	541
621	888	540
622	889	538
623	891	537
624	893	536
625	895	534
626	896	533
627	897	531
628	898	529
629	899	528
630	900	526
631	901	524
632	903	523
633	904	522
634	907	521
635	909	520
636	910	518
637	912	517
638	913	516
639	914	514
640	915	512
641	916	511
642	917	509
643	919	508
644	920	506
645	923	506
646	925	504
647	926	503
648	926	501
649	927	499
650	928	498
651	929	496
652	930	494
653	931	493
654	933	491
655	934	489
656	935	488
657	937	487
658	939	486
659	941	484
660	942	483
661	943	481
662	944	480
663	945	478
664	946	476
665	947	475
666	949	473
667	951	472
668	953	471
669	954	470
670	955	468
671	956	466
672	957	465
673	958	463
674	959	462
675	960	460
676	962	458
677	963	457
678	964	455
679	966	455
680	968	453
681	970	452
682	971	450
683	972	449
684	973	447
685	974	445
686	975	444
687	977	443
688	979	441
689	981	440
690	984	440
691	985	438
692	988	437
693	990	436
694	991	435
695	993	433
696	994	432
697	996	431
698	999	430
699	1001	429
700	1002	427
701	1004	426
702	1006	425
703	1007	423
704	1008	422
705	1009	420
706	1012	419
707	1016	419
708	1017	417
709	1018	415
710	1019	414
711	1020	412
712	1021	411
713	1022	409
714	1024	408
715	1025	406
716	1028	406
717	1030	404
718	1031	402
719	1032	401
720	1033	399
721	1034	398
722	1036	396
723	1037	395
724	1038	393
725	1039	392
726	1045	392
727	1047	391
728	1048	389
729	1050	388
730	1051	387
731	1053	385
732	1054	384
733	1059	383
734	1060	382
735	1062	380
736	1063	379
737	1064	377
738	1065	376
739	1066	374
740	1067	373
741	1068	371
742	1069	369
743	1070	368
744	1072	366
745	1073	365
746	1075	364
747	1076	362
748	1077	361
749	1078	359
750	1079	357
751	1080	356
752	1081	354
753	1082	353
